phi std_phi theta std_theta
8.133 0.658 37.567 0.654
7.997 0.654 35.333 0.638
7.929 0.647 33.148 0.625
7.810 0.634 31.031 0.611
7.663 0.622 28.980 0.586
7.562 0.632 27.006 0.564
7.452 0.609 25.070 0.544
7.318 0.606 23.224 0.535
7.209 0.583 21.399 0.502
7.068 0.589 19.677 0.490
6.933 0.552 18.053 0.475
6.770 0.559 16.463 0.452
6.652 0.536 14.925 0.436
6.503 0.541 13.442 0.422
---
9.705 0.622 78.836 0.563
9.860 0.613 76.847 0.588
9.996 0.618 74.780 0.596
10.137 0.626 72.664 0.626
10.269 0.656 70.491 0.637
10.391 0.660 68.257 0.657
10.511 0.664 66.008 0.675
10.581 0.670 63.677 0.675
10.678 0.667 61.346 0.701
10.685 0.685 58.935 0.693
10.733 0.666 56.556 0.714
10.740 0.671 54.096 0.688
10.773 0.683 51.697 0.693
10.768 0.665 49.269 0.688
10.700 0.660 46.888 0.706
10.644 0.672 44.516 0.678
10.569 0.669 42.159 0.675
10.513 0.661 39.825 0.675
10.371 0.639 37.557 0.656
10.279 0.651 35.318 0.626
10.109 0.639 33.127 0.627
10.028 0.630 31.038 0.602
9.839 0.628 28.981 0.588
9.728 0.602 26.991 0.565
9.570 0.582 25.036 0.542
9.373 0.597 23.196 0.519
9.204 0.577 21.445 0.507
9.033 0.581 19.668 0.485
8.860 0.562 18.065 0.479
8.674 0.543 16.415 0.456
8.524 0.545 14.891 0.435
8.319 0.521 13.439 0.412
---
11.800 0.617 78.872 0.561
12.001 0.610 76.842 0.590
12.162 0.625 74.806 0.614
12.343 0.634 72.655 0.614
12.515 0.639 70.481 0.620
12.636 0.636 68.280 0.667
12.752 0.649 66.013 0.672
12.873 0.654 63.679 0.690
12.944 0.649 61.332 0.673
13.010 0.665 58.939 0.703
13.107 0.660 56.535 0.702
13.117 0.667 54.150 0.681
13.114 0.667 51.714 0.690
13.041 0.656 49.285 0.689
12.973 0.661 46.905 0.693
12.960 0.664 44.455 0.689
12.853 0.651 42.128 0.675
12.744 0.636 39.790 0.655
12.634 0.645 37.563 0.657
12.503 0.632 35.343 0.641
12.288 0.631 33.158 0.613
12.170 0.644 31.068 0.610
11.988 0.611 28.994 0.576
11.790 0.610 26.990 0.579
11.573 0.580 25.077 0.529
11.385 0.582 23.216 0.536
11.191 0.573 21.421 0.513
10.985 0.559 19.692 0.489
10.790 0.554 18.022 0.477
10.585 0.550 16.443 0.466
10.362 0.542 14.909 0.429
10.183 0.515 13.425 0.414
---
13.899 0.598 78.827 0.569
14.118 0.617 76.853 0.594
14.308 0.604 74.819 0.588
14.485 0.631 72.673 0.615
14.677 0.625 70.490 0.639
14.855 0.628 68.272 0.669
14.969 0.626 65.993 0.674
15.091 0.621 63.690 0.679
15.187 0.650 61.301 0.669
15.274 0.659 58.935 0.682
15.322 0.648 56.533 0.686
15.363 0.651 54.087 0.689
15.347 0.659 51.681 0.692
15.335 0.642 49.302 0.691
15.282 0.654 46.857 0.697
15.228 0.642 44.497 0.685
15.088 0.633 42.160 0.674
14.982 0.633 39.846 0.676
