phi std_phi theta std_theta
-104.707 42.583 84.250 11.893
-105.444 46.102 84.205 12.990
-108.778 44.987 83.763 12.278
-111.760 43.878 84.437 13.487
-114.064 43.996 83.483 12.795
-115.001 48.647 83.406 12.869
-118.881 46.376 84.010 12.607
-119.946 50.474 84.008 12.282
-125.521 43.506 83.529 11.157
-122.879 54.513 84.022 12.766
-127.723 48.890 83.729 12.741
-129.606 49.164 83.654 11.983
-127.581 60.556 84.336 12.543
-128.997 62.663 84.156 12.361
-128.434 67.144 84.391 13.879
-132.938 63.329 84.735 13.390
-131.613 68.842 83.741 13.341
-132.199 72.199 84.440 13.791
-129.539 80.406 84.210 14.362
-134.491 75.301 84.456 13.574
-130.494 84.711 84.734 14.960
-133.265 82.716 85.049 14.659
-129.771 90.439 84.194 14.660
-132.842 88.698 84.410 13.553
-122.232 104.794 84.461 15.758
---
-91.816 33.508 82.676 12.020
-92.679 38.519 82.580 13.831
-95.909 37.501 82.427 12.575
-96.202 39.664 82.451 13.247
-100.067 36.954 81.928 12.109
-101.537 40.190 82.185 13.023
-102.966 41.957 81.895 12.735
-105.661 40.106 81.914 12.575
-107.478 41.291 82.054 12.887
-107.918 48.314 81.963 12.395
-112.170 43.389 81.195 11.954
-116.133 40.860 81.241 11.623
-115.182 48.712 81.046 12.922
-116.989 48.961 82.114 13.462
-116.992 54.912 81.274 13.045
-123.357 48.448 81.858 12.371
-122.138 56.429 81.211 13.124
-125.920 53.438 82.019 13.078
-125.987 57.890 81.398 13.099
-129.284 57.323 81.478 12.529
-130.531 58.288 81.931 13.577
-127.573 68.405 82.102 13.846
-130.348 66.702 82.097 14.597
-125.570 78.464 82.106 14.881
-128.748 76.741 82.840 15.255
-131.150 77.379 82.455 13.831
-129.037 84.506 82.308 14.674
-131.043 84.749 81.806 14.045
-122.082 97.845 83.716 15.597
-124.406 98.084 81.759 14.271
-128.672 93.143 82.767 14.967
-121.871 106.119 83.493 15.536
---
-92.015 33.148 80.530 12.533
-92.711 36.698 80.483 13.847
-96.280 34.332 80.265 12.816
-96.123 41.092 80.297 13.012
-97.436 43.549 79.670 13.714
-101.633 38.337 80.124 12.630
-102.667 42.052 79.984 12.940
-106.210 41.719 78.897 12.168
-108.172 40.969 79.870 12.966
-109.203 46.254 78.950 12.855
-112.056 44.163 79.551 12.502
-112.448 46.862 79.157 13.910
-117.696 43.075 79.387 11.038
-117.704 50.029 79.379 12.178
-118.685 51.514 79.035 13.664
-123.450 47.507 78.746 11.697
-124.820 50.041 78.744 12.097
-123.259 58.819 79.155 12.667
-125.976 58.221 79.374 12.519
-125.955 63.978 79.349 13.317
-125.942 67.271 78.839 13.926
-126.421 70.757 79.174 15.019
-131.286 65.297 79.576 13.127
-131.131 69.887 80.398 14.116
-127.710 78.596 80.251 14.522
-129.624 79.768 80.341 14.054
-132.637 78.046 80.238 14.122
-129.640 85.254 80.844 14.780
-133.138 84.130 79.660 13.507
-120.013 102.314 80.146 15.087
-125.649 97.812 80.360 13.987
-126.632 101.038 82.232 15.347
---
-90.643 37.037 78.313 12.956
-90.600 43.422 77.753 13.168
-94.440 38.352 77.739 12.520
-95.034 42.459 77.557 13.636
-97.112 44.000 77.670 13.554
-100.611 39.673 77.369 12.480
-102.795 40.991 77.607 13.481
-104.933 42.099 77.479 12.688
-107.949 40.816 76.732 12.291
-108.272 44.599 76.500 12.473
-110.704 45.725 77.528 12.547
-112.845 48.965 76.744 12.287
-114.191 50.837 77.026 13.664
-118.104 47.277 77.090 12.662
-122.436 44.465 77.146 11.669
-122.072 48.458 77.086 11.990
-123.325 53.367 77.397 12.567
-124.191 58.872 76.888 12.467
