phi std_phi theta std_theta
-130.338 1.687 37.448 1.142
-130.068 1.787 35.508 1.184
-129.739 2.009 33.487 1.252
-129.238 2.106 31.386 1.243
-128.609 2.288 29.311 1.256
-128.034 2.397 26.930 1.303
-127.231 2.799 24.500 1.321
-126.317 3.005 22.039 1.362
-125.161 3.519 19.480 1.383
-123.444 3.975 16.823 1.442
-120.992 4.669 14.241 1.493
-117.603 5.724 11.465 1.557
-111.855 7.017 8.780 1.566
-100.236 10.893 6.277 1.651
-72.313 20.514 4.237 1.582
-28.001 23.199 3.995 1.090
1.987 17.858 5.549 0.888
16.674 12.236 7.822 0.951
24.193 8.715 10.393 1.039
28.834 6.664 13.080 1.115
31.957 5.345 15.781 1.123
34.023 4.436 18.416 1.185
35.485 3.882 21.017 1.200
36.531 3.476 23.556 1.176
37.489 3.014 25.939 1.195
38.216 2.711 28.284 1.184
38.819 2.512 30.571 1.152
39.293 2.264 32.651 1.121
39.737 2.099 34.739 1.097
40.117 1.882 36.643 1.093
40.403 1.781 38.520 1.055
40.673 1.649 40.298 1.072
---
-126.519 1.593 37.678 1.129
-125.887 1.719 35.738 1.208
-125.192 1.806 33.853 1.235
-124.474 1.950 31.717 1.262
-123.435 2.005 29.596 1.272
-122.344 2.271 27.309 1.383
-120.867 2.468 24.993 1.366
-119.149 2.807 22.593 1.454
-117.102 3.001 20.102 1.434
-114.082 3.339 17.644 1.505
-110.002 3.640 15.136 1.546
-104.396 4.320 12.610 1.626
-95.847 4.977 10.321 1.628
-82.586 6.391 8.265 1.684
-61.695 9.736 6.934 1.541
-35.922 12.660 6.743 1.202
-13.474 12.566 7.705 0.932
1.540 10.094 9.540 0.877
11.108 8.145 11.741 0.932
17.346 6.667 14.130 0.973
22.092 5.436 16.612 1.029
25.650 4.667 19.158 1.089
28.025 3.814 21.626 1.083
30.053 3.500 24.060 1.101
31.534 3.140 26.398 1.080
32.835 2.797 28.676 1.087
33.901 2.397 30.813 1.102
34.811 2.289 32.948 1.051
35.653 2.095 35.022 1.056
36.148 1.977 36.872 1.030
36.826 1.800 38.751 1.029
37.278 1.688 40.450 1.049
---
-122.755 1.495 37.998 1.148
-121.928 1.611 36.103 1.233
-120.964 1.677 34.197 1.242
-119.777 1.846 32.252 1.282
-118.352 1.934 30.117 1.323
-116.797 2.000 27.911 1.370
-114.903 2.232 25.669 1.453
-112.430 2.364 23.453 1.440
-109.540 2.586 21.107 1.510
-105.778 2.804 18.807 1.556
-100.913 3.156 16.411 1.602
-94.268 3.439 14.356 1.662
-85.035 4.128 12.297 1.676
-72.594 5.178 10.664 1.608
-56.551 7.216 9.645 1.468
-39.388 8.742 9.613 1.259
-22.398 8.610 10.256 1.001
-9.189 8.179 11.665 0.913
0.620 7.158 13.507 0.901
8.234 6.107 15.630 0.931
