phi std_phi theta std_theta
-144.924 3.314 155.749 1.177
-146.165 3.753 158.163 1.130
-147.800 4.303 160.668 1.141
-150.091 5.295 163.314 1.135
-153.281 6.550 165.943 1.090
-155.365 29.934 168.630 1.006
-130.138 100.923 171.128 0.962
-18.393 167.231 173.457 0.894
112.554 108.386 175.103 1.012
117.982 32.686 175.264 1.505
90.790 9.128 173.865 1.713
75.509 6.585 171.564 1.628
67.684 5.512 168.999 1.622
63.166 4.567 166.298 1.501
59.866 3.910 163.643 1.483
57.695 3.457 161.041 1.382
55.955 3.006 158.501 1.391
54.670 2.729 156.082 1.336
53.724 2.425 153.667 1.302
52.870 2.281 151.341 1.317
52.199 1.999 149.089 1.242
51.663 1.962 147.011 1.241
51.110 1.796 144.988 1.146
50.690 1.652 143.037 1.153
---
-136.673 1.624 139.316 1.045
-136.710 1.664 141.052 1.057
-136.904 1.811 142.898 1.114
-137.118 1.910 144.798 1.130
-137.017 2.097 146.827 1.150
-137.428 2.380 148.981 1.155
-137.782 2.528 151.267 1.181
-137.982 2.903 153.557 1.248
-138.327 3.198 155.989 1.244
-138.903 3.525 158.619 1.222
-139.304 4.121 161.107 1.238
-140.275 4.888 163.819 1.214
-141.379 6.003 166.596 1.217
-142.777 10.531 169.317 1.224
-142.716 33.935 172.165 1.170
-119.647 94.659 174.946 1.071
-12.684 150.471 177.264 0.959
66.437 73.190 177.662 1.317
60.414 17.273 175.385 1.503
54.708 9.966 172.519 1.466
52.262 7.071 169.716 1.402
50.461 5.692 166.946 1.342
49.679 4.581 164.100 1.362
48.969 3.959 161.427 1.338
48.419 3.378 158.843 1.303
48.175 2.959 156.323 1.307
47.724 2.715 153.866 1.264
47.361 2.384 151.581 1.218
47.263 2.224 149.294 1.230
47.023 2.111 147.140 1.245
47.011 1.933 145.029 1.165
46.784 1.794 143.167 1.122
---
-133.197 1.547 139.307 1.066
-133.125 1.588 141.010 1.132
-133.034 1.734 142.890 1.150
-132.828 1.883 144.846 1.173
-132.582 2.018 146.879 1.166
-132.482 2.234 149.045 1.158
-132.098 2.470 151.181 1.230
-132.043 2.690 153.621 1.266
-131.636 2.906 155.993 1.275
-131.192 3.383 158.522 1.322
-130.671 3.806 161.107 1.372
-129.905 4.579 163.817 1.366
-128.691 5.375 166.539 1.403
-127.277 6.829 169.358 1.426
-123.900 9.158 172.160 1.474
-116.544 27.125 174.983 1.514
-70.803 64.675 177.418 1.425
-2.837 38.992 177.347 0.964
22.654 19.803 175.182 1.047
31.355 11.826 172.505 1.151
35.311 8.363 169.716 1.203
37.781 6.318 166.864 1.243
39.213 5.077 164.120 1.224
40.158 4.214 161.424 1.207
40.738 3.605 158.816 1.199
41.334 3.256 156.283 1.208
41.727 2.907 153.830 1.194
41.989 2.542 151.447 1.207
42.345 2.369 149.226 1.204
42.460 2.142 147.146 1.148
42.536 1.983 145.086 1.152
42.761 1.863 143.120 1.161
---
-129.905 1.515 139.288 1.099
-129.514 1.543 140.978 1.116
-129.039 1.621 142.796 1.136
-128.593 1.776 144.677 1.182
-128.101 1.946 146.715 1.264
-127.484 2.008 148.793 1.193
-126.824 2.269 151.055 1.260
-126.058 2.466 153.312 1.318
-125.022 2.777 155.712 1.376
-123.778 3.154 158.179 1.406
-122.127 3.354 160.748 1.440
-119.912 3.869 163.324 1.505
-116.865 4.452 165.998 1.531
-112.143 5.347 168.655 1.582
-104.499 6.273 171.086 1.615
-90.389 8.288 173.491 1.699
-62.693 15.012 175.003 1.515
-26.489 19.209 175.077 1.105
-1.600 15.112 173.543 0.903
12.263 10.990 171.330 0.936
20.308 8.139 168.871 0.997
25.582 6.472 166.237 1.080
29.153 5.260 163.565 1.098
31.381 4.524 160.962 1.137
33.356 3.868 158.404 1.135
34.578 3.335 155.961 1.138
35.673 3.011 153.548 1.151
36.623 2.615 151.278 1.101
37.272 2.428 149.052 1.104
37.763 2.267 146.942 1.084
38.468 2.109 144.915 1.110
38.944 1.862 143.026 1.046
---
-126.282 1.360 138.942 1.098
-125.852 1.507 140.706 1.176
-125.180 1.631 142.457 1.201
-124.499 1.668 144.437 1.165
-123.733 1.801 146.413 1.210
-122.798 1.963 148.469 1.338
-121.613 2.054 150.597 1.346
-120.235 2.216 152.825 1.369
-118.569 2.388 155.168 1.376
-116.655 2.644 157.499 1.486
-114.160 2.836 159.971 1.462
-110.696 3.151 162.421 1.520
-106.075 3.556 164.834 1.589
-99.845 4.032 167.207 1.633
-90.402 4.670 169.351 1.720
-76.093 6.476 171.247 1.663
-56.762 9.396 172.274 1.476
-33.913 11.375 172.263 1.182
-14.817 10.608 171.252 0.944
-0.741 9.233 169.524 0.875
8.555 7.681 167.360 0.904
15.066 6.378 165.039 0.978
20.129 5.207 162.620 0.989
23.396 4.559 160.223 1.052
26.024 3.909 157.781 1.049
28.304 3.491 155.432 1.080
29.797 3.088 153.085 1.079
31.224 2.694 150.816 1.053
32.421 2.443 148.692 1.069
33.292 2.327 146.640 1.094
34.251 2.118 144.659 1.053
34.944 1.963 142.722 1.026
---
-123.122 1.397 138.755 1.146
-122.242 1.436 140.361 1.185
-121.494 1.464 142.130 1.189
-120.442 1.565 143.978 1.250
-119.505 1.605 145.948 1.209
-118.104 1.803 147.881 1.286
-116.645 1.918 149.980 1.348
-114.748 2.014 152.106 1.400
-112.670 2.120 154.340 1.357
-110.197 2.288 156.617 1.445
-106.723 2.537 158.887 1.484
-102.684 2.749 161.175 1.570
-97.296 2.985 163.324 1.608
-90.317 3.341 165.442 1.618
-80.743 4.043 167.237 1.692
-68.509 5.236 168.711 1.597
-53.261 6.919 169.417 1.440
-37.533 7.823 169.466 1.206
-22.455 8.130 168.670 1.028
-9.972 7.646 167.314 0.926
-0.656 6.596 165.578 0.866
6.338 5.848 163.512 0.902
11.857 5.040 161.273 0.946
16.127 4.336 159.088 0.969
19.537 3.887 156.808 1.003
22.282 3.372 154.528 0.998
24.363 3.049 152.350 1.017
26.127 2.753 150.234 1.011
27.813 2.590 148.070 1.049
29.132 2.386 146.141 1.044
30.289 2.032 144.161 0.987
31.281 1.965 142.336 0.979
---
-119.716 1.279 138.303 1.174
-118.794 1.322 139.932 1.121
-117.753 1.423 141.671 1.290
-116.604 1.492 143.438 1.206
-115.236 1.515 145.294 1.319
-113.696 1.590 147.247 1.340
-111.792 1.750 149.186 1.342
-109.683 1.793 151.224 1.428
-107.128 1.943 153.332 1.484
-104.174 2.042 155.447 1.501
-100.421 2.231 157.591 1.537
-95.919 2.361 159.648 1.588
-90.179 2.572 161.549 1.590
-82.946 2.978 163.416 1.608
-74.228 3.601 164.904 1.609
-63.736 4.630 166.004 1.572
-51.829 5.484 166.619 1.433
-38.937 6.039 166.673 1.252
-26.974 6.357 166.045 1.103
-16.415 6.141 164.959 0.954
-7.686 5.746 163.467 0.893
-0.558 5.196 161.707 0.898
5.252 4.611 159.742 0.883
9.753 4.103 157.705 0.919
13.427 3.677 155.622 0.956
16.840 3.287 153.549 0.961
19.308 3.068 151.440 0.975
21.474 2.724 149.414 0.966
23.284 2.608 147.397 1.019
24.870 2.349 145.476 1.018
26.435 2.158 143.647 0.984
27.463 2.004 141.825 0.967
---
-116.590 1.199 137.835 1.116
-115.459 1.297 139.419 1.205
-114.254 1.293 141.027 1.192
-112.857 1.399 142.772 1.248
-111.331 1.406 144.511 1.330
-109.474 1.475 146.381 1.325
-107.418 1.597 148.266 1.375
-105.041 1.656 150.223 1.443
-102.186 1.735 152.212 1.489
-98.847 1.840 154.136 1.505
-94.866 1.992 156.103 1.566
-90.143 2.138 157.806 1.625
